"","osm_id","osm_user","osm_uid","osm_version","osm_changeset","osm_timestamp","access","addr:housename","addr:housenumber","addr:place","addr:city","addr:country","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
"21",5360972283,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,"P.O Box 15215, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loreto Mary Ward Centre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"guest_house",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000E17A142E0C314F41A4703D0A877C02C1"
"22",5360972284,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Christian Ministries in Africa - Guest House",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"guest_house",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000085EB51B80E314F41EC51B81E7F7B02C1"
"23",5360972295,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,"P. O. Box 24242, Nairobi",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camillian Sisters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000048E17A142F304F419A9999990F7702C1"
"24",5360972288,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,"Masai Ln, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Classic Safaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"travel_agency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000AE47E1FA5A304F41C3F5285CB57602C1"
"25",5360972293,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grandma's House",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00007B14AE271E304F4185EB51B8C27102C1"
"26",5360972286,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karengata Academy Secondary School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000048E17A14B2304F413D0AD7A3467902C1"
"27",4835284825,"Jopparn","302013","1","48403056","2017-05-04T18:56:21Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bus_stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00007B14AEC7672F4F41295C8FC2556802C1"
"28",5360972290,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"House of Waine.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00006666668609304F4114AE47E1AC6E02C1"
"29",5360972294,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,"Karen Getaway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karen Getaway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00008FC2F5C8EC2F4F41C3F5285CF36A02C1"
"30",5360972260,"DingoKG","6318104","1","55740125","2018-01-25T12:57:27Z",NA,NA,"Jacob Chege Drive off, Bogani Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tomcat Rentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hostel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000333333B32F324F410AD7A370037102C1"
"31",5361482482,"DingoKG","6318104","1","55745568","2018-01-25T16:13:54Z",NA,NA,"Jacob Chege Dr, Nairobi",NA,NA,NA,NA,NA,NA,NA,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"St. Anne Kindergarten and Primary School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000085EB5118A0324F41CDCCCCCC187802C1"
"32",5360972259,"DingoKG","6318104","1","55740125","2018-01-25T12:57:27Z",NA,NA,"Bogani Rd, Nairobi City",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capuchin Franciscan Friars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"catholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000666666E627324F4166666666406E02C1"
"33",5361482483,"DingoKG","6318104","1","55745568","2018-01-25T16:13:54Z",NA,NA,"P.O. Box 66229, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Safari in Style",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"travel_agency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00006666666682324F41AE47E17AEC6F02C1"
"34",5361537118,"DingoKG","6318104","1","55746094","2018-01-25T16:28:32Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"restaurant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tamasha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00008FC2F5283E334F415C8FC2F5886B02C1"
"35",5360972249,"DingoKG","6318104","1","55740125","2018-01-25T12:57:27Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Testament Church Of God - Kenya Head Office",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"christian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00003333333341314F41666666669C5602C1"
"36",5360972247,"DingoKG","6318104","1","55740125","2018-01-25T12:57:27Z",NA,NA,"Korongo Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karen Ndege House Inn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"guest_house",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000E17A146E6B304F41295C8FC2A54E02C1"
"37",5360972248,"DingoKG","6318104","1","55740125","2018-01-25T12:57:27Z",NA,NA,"Ndege Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,"restaurant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blexin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000295C8F425B304F4166666666F64902C1"
"38",5360972256,"DingoKG","6318104","1","55740125","2018-01-25T12:57:27Z",NA,NA,"Mbogani Cottages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mbogani Cottages",NA,NA,NA,NA,"village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000EC51B81E34324F4152B81E85CF5402C1"
"39",5360972258,"DingoKG","6318104","1","55740125","2018-01-25T12:57:27Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dimjim Mushrooms",NA,NA,NA,NA,"village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000D7A370FD0F324F4152B81E852B5302C1"
"40",5360972228,"DingoKG","6318104","1","55740125","2018-01-25T12:57:26Z",NA,NA,"Marist Lane, off Langata road, Nairobi",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Salvation Army Kenya East Territorial Headquarters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"christian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000C3F528BCC6314F41C3F5285CCD3802C1"
"41",5360972229,"DingoKG","6318104","1","55740125","2018-01-25T12:57:26Z",NA,NA,"Marist Ln, off, Langata Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"St. Bonaventure Formation House",NA,"educational_institution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000052B81E8524324F4148E17A14083902C1"
"42",5360972241,"DingoKG","6318104","2","55740140","2018-01-25T12:58:08Z",NA,NA,"Fana Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karen Homestay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"guest_house",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000033333353B3324F41F6285C8F5C4202C1"
"43",5361637313,"DingoKG","6318104","1","55747090","2018-01-25T16:55:21Z",NA,NA,"Fana Rd, Nairobi City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karen Embers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000000000A044334F41F6285C8FB84802C1"
